# SUPERSEDED 2026-05-05 — Lori clarification voided plain-slug → success-story base-name mapping. See final-cc-addendum.md and plain-slug-reclassification.tsv.
legacy_path	proposed_destination	matched_year	slug_form	confidence	rationale
/casper	/adoption-successes/2023/casper-2023	2023	casper-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "casper" matches migrated story
/charlee	/adoption-successes/2023/charlee-2023-2	2023	charlee-2023-2	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "charlee" matches migrated story
/charlie	/adoption-successes/2022/charlie-2022	2022	charlie-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "charlie" matches migrated story
/claire	/adoption-successes/2024/claire-2024	2024	claire-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "claire" matches migrated story
/coco	/adoption-successes/2024/coco-2024	2024	coco-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "coco" matches migrated story
/coffee-bean	/adoption-successes/2024/coffee-bean-2024	2024	coffee-bean-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "coffee-bean" matches migrated story
/cowboy	/adoption-successes/2024/cowboy-2024	2024	cowboy-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "cowboy" matches migrated story
/daisy	/adoption-successes/2024/daisy-2024	2024	daisy-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "daisy" matches migrated story
/dakota	/adoption-successes/2025/dakota-2025	2025	dakota-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "dakota" matches migrated story
/dan	/adoption-successes/2024/dan-2024	2024	dan-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "dan" matches migrated story
/diesel	/adoption-successes/2022/diesel-2022	2022	diesel-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "diesel" matches migrated story
/donut	/adoption-successes/2025/donut-2025	2025	donut-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "donut" matches migrated story
/dozer	/adoption-successes/2022/dozer-2022	2022	dozer-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "dozer" matches migrated story
/drago	/adoption-successes/2023/drago-2023	2023	drago-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "drago" matches migrated story
/duke	/adoption-successes/2025/duke-2025	2025	duke-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "duke" matches migrated story
/duke-black	/adoption-successes/2022/duke-black-2022	2022	duke-black-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "duke-black" matches migrated story
/duke-fawnequin	/adoption-successes/2022/duke-fawnequin-2022	2022	duke-fawnequin-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "duke-fawnequin" matches migrated story
/duncan	/adoption-successes/2022/duncan-2022	2022	duncan-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "duncan" matches migrated story
/echo	/adoption-successes/2025/echo-2025	2025	echo-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "echo" matches migrated story
/ella	/adoption-successes/2024/ella-2024	2024	ella-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "ella" matches migrated story
/erza	/adoption-successes/2025/erza-2025	2025	erza-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "erza" matches migrated story
/fiona	/adoption-successes/2023/fiona-2023	2023	fiona-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "fiona" matches migrated story
/gabby	/adoption-successes/2022/gabby-2022	2022	gabby-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "gabby" matches migrated story
/george	/adoption-successes/2022/george-2022	2022	george-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "george" matches migrated story
/groot	/adoption-successes/2025/groot-2025	2025	groot-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "groot" matches migrated story
/gypsy-rose	/adoption-successes/2022/gypsy-rose-2022	2022	gypsy-rose-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "gypsy-rose" matches migrated story
/harlem	/adoption-successes/2024/harlem-2024	2024	harlem-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "harlem" matches migrated story
/harley-brindle	/adoption-successes/2025/harley-brindle-2025	2025	harley-brindle-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "harley-brindle" matches migrated story
/hennessey	/adoption-successes/2025/hennessey-2025	2025	hennessey-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "hennessey" matches migrated story
/holly	/adoption-successes/2022/holly-2022	2022	holly-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "holly" matches migrated story
/journey	/adoption-successes/2025/journey-2025	2025	journey-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "journey" matches migrated story
/juniper	/adoption-successes/2022/juniper-2022	2022	juniper-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "juniper" matches migrated story
/kai	/adoption-successes/2024/kai-2024	2024	kai-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "kai" matches migrated story
/kane	/adoption-successes/2023/kane-2023	2023	kane-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "kane" matches migrated story
/kara	/adoption-successes/2025/kara-2025	2025	kara-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "kara" matches migrated story
/khan	/adoption-successes/2022/khan-2022	2022	khan-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "khan" matches migrated story
/kingston	/adoption-successes/2023/kingston-2023	2023	kingston-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "kingston" matches migrated story
/korben	/adoption-successes/2024/korben-2024	2024	korben-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "korben" matches migrated story
/kumo	/adoption-successes/2024/kumo-2024	2024	kumo-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "kumo" matches migrated story
/lady	/adoption-successes/2025/lady-2025	2025	lady-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "lady" matches migrated story
/leo	/adoption-successes/2025/leo-2025	2025	leo-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "leo" matches migrated story
/lilah	/adoption-successes/2025/lilah-2025	2025	lilah-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "lilah" matches migrated story
/lilo	/adoption-successes/2022/lilo-2022	2022	lilo-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "lilo" matches migrated story
/lily	/adoption-successes/2024/lily-2024	2024	lily-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "lily" matches migrated story
/loki	/adoption-successes/2025/loki-2025	2025	loki-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "loki" matches migrated story
/luna	/adoption-successes/2024/luna-2024	2024	luna-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "luna" matches migrated story
/maggie	/adoption-successes/2024/maggie-2024-2	2024	maggie-2024-2	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "maggie" matches migrated story
/maivis	/adoption-successes/2024/maivis-2024	2024	maivis-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "maivis" matches migrated story
/max	/adoption-successes/2022/max-2022	2022	max-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "max" matches migrated story
/maximus	/adoption-successes/2025/maximus-2025	2025	maximus-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "maximus" matches migrated story
/mera	/adoption-successes/2022/mera-2022	2022	mera-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "mera" matches migrated story
/merle	/adoption-successes/2025/merle-2025	2025	merle-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "merle" matches migrated story
/milo	/adoption-successes/2024/milo-2024	2024	milo-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "milo" matches migrated story
/mimi	/adoption-successes/2022/mimi-2022	2022	mimi-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "mimi" matches migrated story
/misty	/adoption-successes/2025/misty-2025	2025	misty-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "misty" matches migrated story
/moose	/adoption-successes/2025/moose-2025	2025	moose-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "moose" matches migrated story
/nike	/adoption-successes/2022/nike-2022	2022	nike-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "nike" matches migrated story
/niko	/adoption-successes/2024/niko-2024	2024	niko-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "niko" matches migrated story
/ocean	/adoption-successes/2022/ocean-2022	2022	ocean-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "ocean" matches migrated story
/odie	/adoption-successes/2025/odie-2025	2025	odie-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "odie" matches migrated story
/olive	/adoption-successes/2023/olive-2023	2023	olive-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "olive" matches migrated story
/oliver	/adoption-successes/2025/oliver-2025	2025	oliver-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "oliver" matches migrated story
/onyx	/adoption-successes/2025/onyx-2025	2025	onyx-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "onyx" matches migrated story
/oreo	/adoption-successes/2024/oreo-2024	2024	oreo-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "oreo" matches migrated story
/penelope	/adoption-successes/2022/penelope-2022	2022	penelope-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "penelope" matches migrated story
/pharaoh	/adoption-successes/2023/pharaoh-2023	2023	pharaoh-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "pharaoh" matches migrated story
/phoenix	/adoption-successes/2025/phoenix-2025	2025	phoenix-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "phoenix" matches migrated story
/pumpkin	/adoption-successes/2023/pumpkin-2023	2023	pumpkin-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "pumpkin" matches migrated story
/ramona	/adoption-successes/2024/ramona-2024	2024	ramona-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "ramona" matches migrated story
/remus	/adoption-successes/2024/remus-2024	2024	remus-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "remus" matches migrated story
/rocky	/adoption-successes/2023/rocky-2023	2023	rocky-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "rocky" matches migrated story
/romeo	/adoption-successes/2024/romeo-2024	2024	romeo-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "romeo" matches migrated story
/roxxy	/adoption-successes/2025/roxxy-2025	2025	roxxy-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "roxxy" matches migrated story
/ryven	/adoption-successes/2024/ryven-2024	2024	ryven-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "ryven" matches migrated story
/sam	/adoption-successes/2023/sam-2023	2023	sam-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "sam" matches migrated story
/scooby	/adoption-successes/2025/scooby-2025	2025	scooby-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "scooby" matches migrated story
/scout	/adoption-successes/2024/scout-2024	2024	scout-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "scout" matches migrated story
/sheba	/adoption-successes/2025/sheba-2025	2025	sheba-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "sheba" matches migrated story
/simba	/adoption-successes/2023/simba-2023	2023	simba-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "simba" matches migrated story
/siren	/adoption-successes/2022/siren-2022	2022	siren-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "siren" matches migrated story
/siryn-rey	/adoption-successes/2024/siryn-rey-2024	2024	siryn-rey-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "siryn-rey" matches migrated story
/snoop	/adoption-successes/2022/snoop-2022	2022	snoop-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "snoop" matches migrated story
/stetson	/adoption-successes/2024/stetson-2024	2024	stetson-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "stetson" matches migrated story
/stitch	/adoption-successes/2022/stitch-2022	2022	stitch-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "stitch" matches migrated story
/sven	/adoption-successes/2025/sven-2025	2025	sven-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "sven" matches migrated story
/thor	/adoption-successes/2024/thor-2024	2024	thor-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "thor" matches migrated story
/tigs	/adoption-successes/2022/tigs-2022	2022	tigs-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "tigs" matches migrated story
/tiny-tim	/adoption-successes/2025/tiny-tim-2025	2025	tiny-tim-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "tiny-tim" matches migrated story
/titan	/adoption-successes/2023/titan-2023	2023	titan-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "titan" matches migrated story
/tobias	/adoption-successes/2023/tobias-2023	2023	tobias-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "tobias" matches migrated story
/toby	/adoption-successes/2025/toby-2025	2025	toby-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "toby" matches migrated story
/toni	/adoption-successes/2023/toni-2023	2023	toni-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "toni" matches migrated story
/tux	/adoption-successes/2025/tux-2025	2025	tux-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "tux" matches migrated story
/tyr	/adoption-successes/2024/tyr-2024	2024	tyr-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "tyr" matches migrated story
/tyson	/adoption-successes/2024/tyson-2024	2024	tyson-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "tyson" matches migrated story
/velma	/adoption-successes/2025/velma-2025	2025	velma-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "velma" matches migrated story
/watson	/adoption-successes/2024/watson-2024	2024	watson-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "watson" matches migrated story
/waunita	/adoption-successes/2023/waunita-2023	2023	waunita-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "waunita" matches migrated story
/willie	/adoption-successes/2023/willie-2023	2023	willie-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "willie" matches migrated story
/willow	/adoption-successes/2023/willow-2023	2023	willow-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "willow" matches migrated story
/winston	/adoption-successes/2025/winston-2025	2025	winston-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "winston" matches migrated story
/zelda	/adoption-successes/2025/zelda-2025	2025	zelda-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "zelda" matches migrated story
/zena	/adoption-successes/2025/zena-2025	2025	zena-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "zena" matches migrated story
/zeus	/adoption-successes/2024/zeus-2024	2024	zeus-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "zeus" matches migrated story
/zeva	/adoption-successes/2023/zeva-2023	2023	zeva-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "zeva" matches migrated story
