# Plain-Slug Reclassification (per Plain-Slug Lifecycle Rule, Atlas-validated 2026-05-05)
# Cohort: original 130-row plain-slug-mappings.SUPERSEDED.tsv
# Rule: plain /<dogname>/ → success-story by base-name match alone is NOT authorized.
legacy_path	rationale	proposed_action	proposed_destination	dog_id	previous_disposition	notes
/gabby	not_current_available_no_destination	410			308 → /adoption-successes/2022/gabby-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/george	not_current_available_no_destination	410			308 → /adoption-successes/2022/george-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/groot	not_current_available_no_destination	410			308 → /adoption-successes/2025/groot-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/gypsy-rose	not_current_available_no_destination	410			308 → /adoption-successes/2022/gypsy-rose-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/harlem	not_current_available_no_destination	410			308 → /adoption-successes/2024/harlem-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/harley-brindle	not_current_available_no_destination	410			308 → /adoption-successes/2025/harley-brindle-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/hennessey	not_current_available_no_destination	410			308 → /adoption-successes/2025/hennessey-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/holly	not_current_available_no_destination	410			308 → /adoption-successes/2022/holly-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/journey	not_current_available_no_destination	410			308 → /adoption-successes/2025/journey-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/juniper	not_current_available_no_destination	410			308 → /adoption-successes/2022/juniper-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kai	not_current_available_no_destination	410			308 → /adoption-successes/2024/kai-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kane	not_current_available_no_destination	410			308 → /adoption-successes/2023/kane-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kara	not_current_available_no_destination	410			308 → /adoption-successes/2025/kara-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/khan	not_current_available_no_destination	410			308 → /adoption-successes/2022/khan-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kingston	not_current_available_no_destination	410			308 → /adoption-successes/2023/kingston-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/korben	not_current_available_no_destination	410			308 → /adoption-successes/2024/korben-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kumo	not_current_available_no_destination	410			308 → /adoption-successes/2024/kumo-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/lady	not_current_available_no_destination	410			308 → /adoption-successes/2025/lady-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/leo	not_current_available_no_destination	410			308 → /adoption-successes/2025/leo-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/lilah	not_current_available_no_destination	410			308 → /adoption-successes/2025/lilah-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/lilo	not_current_available_no_destination	410			308 → /adoption-successes/2022/lilo-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/lily	not_current_available_no_destination	410			308 → /adoption-successes/2024/lily-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/loki	not_current_available_no_destination	410			308 → /adoption-successes/2025/loki-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/luna	not_current_available_no_destination	410			308 → /adoption-successes/2024/luna-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/maggie	not_current_available_no_destination	410			308 → /adoption-successes/2024/maggie-2024-2 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/maivis	not_current_available_no_destination	410			308 → /adoption-successes/2024/maivis-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/max	not_current_available_no_destination	410			308 → /adoption-successes/2022/max-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/maximus	not_current_available_no_destination	410			308 → /adoption-successes/2025/maximus-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/mera	not_current_available_no_destination	410			308 → /adoption-successes/2022/mera-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/merle	not_current_available_no_destination	410			308 → /adoption-successes/2025/merle-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/milo	not_current_available_no_destination	410			308 → /adoption-successes/2024/milo-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/mimi	not_current_available_no_destination	410			308 → /adoption-successes/2022/mimi-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/misty	not_current_available_no_destination	410			308 → /adoption-successes/2025/misty-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/moose	not_current_available_no_destination	410			308 → /adoption-successes/2025/moose-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/nike	not_current_available_no_destination	410			308 → /adoption-successes/2022/nike-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/niko	not_current_available_no_destination	410			308 → /adoption-successes/2024/niko-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/ocean	not_current_available_no_destination	410			308 → /adoption-successes/2022/ocean-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/odie	not_current_available_no_destination	410			308 → /adoption-successes/2025/odie-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/olive	not_current_available_no_destination	410			308 → /adoption-successes/2023/olive-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/oliver	not_current_available_no_destination	410			308 → /adoption-successes/2025/oliver-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/onyx	not_current_available_no_destination	410			308 → /adoption-successes/2025/onyx-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/oreo	not_current_available_no_destination	410			308 → /adoption-successes/2024/oreo-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/penelope	not_current_available_no_destination	410			308 → /adoption-successes/2022/penelope-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/pharaoh	not_current_available_no_destination	410			308 → /adoption-successes/2023/pharaoh-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/phoenix	not_current_available_no_destination	410			308 → /adoption-successes/2025/phoenix-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/pumpkin	not_current_available_no_destination	410			308 → /adoption-successes/2023/pumpkin-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/ramona	not_current_available_no_destination	410			308 → /adoption-successes/2024/ramona-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/remus	not_current_available_no_destination	410			308 → /adoption-successes/2024/remus-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/rocky	not_current_available_no_destination	410			308 → /adoption-successes/2023/rocky-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/romeo	not_current_available_no_destination	410			308 → /adoption-successes/2024/romeo-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/roxxy	not_current_available_no_destination	410			308 → /adoption-successes/2025/roxxy-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/ryven	not_current_available_no_destination	410			308 → /adoption-successes/2024/ryven-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/sam	not_current_available_no_destination	410			308 → /adoption-successes/2023/sam-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/scooby	not_current_available_no_destination	410			308 → /adoption-successes/2025/scooby-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/scout	not_current_available_no_destination	410			308 → /adoption-successes/2024/scout-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/sheba	not_current_available_no_destination	410			308 → /adoption-successes/2025/sheba-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/simba	not_current_available_no_destination	410			308 → /adoption-successes/2023/simba-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/siren	not_current_available_no_destination	410			308 → /adoption-successes/2022/siren-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/siryn-rey	not_current_available_no_destination	410			308 → /adoption-successes/2024/siryn-rey-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/snoop	not_current_available_no_destination	410			308 → /adoption-successes/2022/snoop-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/stetson	not_current_available_no_destination	410			308 → /adoption-successes/2024/stetson-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/stitch	not_current_available_no_destination	410			308 → /adoption-successes/2022/stitch-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/sven	not_current_available_no_destination	410			308 → /adoption-successes/2025/sven-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/thor	not_current_available_no_destination	410			308 → /adoption-successes/2024/thor-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/tigs	not_current_available_no_destination	410			308 → /adoption-successes/2022/tigs-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/tiny-tim	not_current_available_no_destination	410			308 → /adoption-successes/2025/tiny-tim-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/titan	not_current_available_no_destination	410			308 → /adoption-successes/2023/titan-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/tobias	not_current_available_no_destination	410			308 → /adoption-successes/2023/tobias-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/toby	not_current_available_no_destination	410			308 → /adoption-successes/2025/toby-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/toni	not_current_available_no_destination	410			308 → /adoption-successes/2023/toni-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/tux	not_current_available_no_destination	410			308 → /adoption-successes/2025/tux-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/tyr	not_current_available_no_destination	410			308 → /adoption-successes/2024/tyr-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
